GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND 
"RUA DOUTOR NATALINO RIGHETO, 602, SAO PAULO, SAO PAULO,  - BRASIL","069005166570000079","069","005","166570","00","0079",ST,TUC,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",116.00,72.00,RUA DOUTOR NATALINO RIGHETO,"602",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,4807644","-46,6105758","0"
"RUA CANTAREIRA, 365, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000135","226","015","517836","00","0135",JT,TRE,"2",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",272.00,340.00,RUA CANTAREIRA,"365",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5409877","-46,6299487","0"
"RUA CANTAREIRA, 91, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000188","226","015","517836","00","0188",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",281.00,117.00,RUA CANTAREIRA,"91",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5432187","-46,6308274","0"
"RUA CARAPEBUS, 519, SAO PAULO, SAO PAULO,  - BRASIL","137087057126000047","137","087","057126","00","0047",GU,GUA,"1",S,S,ZEIS-1,"0",,L,"16402","2016",S,QA,"9",,L,"16402","2016",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",38.00,250.00,RUA CARAPEBUS,"519",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5627913","-46,4244362","0"
"RUA CANTAREIRA, 231, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000160","226","015","517836","00","0160",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",240.00,100.00,RUA CANTAREIRA,"231",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5421218","-46,6303772","0"
"RUA CANTAREIRA, 171, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000172","226","015","517836","00","0172",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,100.00,RUA CANTAREIRA,"171",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,542592","-46,6305806","0"
"RUA CANTAREIRA, 75, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000191","226","015","517836","00","0191",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",240.00,100.00,RUA CANTAREIRA,"75",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5432615","-46,6308455","0"
"RUA CANTAREIRA, 186, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000169","226","015","517836","00","0169",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",320.00,100.00,RUA CANTAREIRA,"186",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5426136","-46,6304242","0"
"RUA CANTAREIRA, 335, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000141","226","015","517836","00","0141",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",160.00,100.00,RUA CANTAREIRA,"335",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,541199","-46,630044","0"
"RUA ANA DO SACRAMENTO ANDRADE, 31, SAO PAULO, SAO PAULO,  - BRASIL","226015355224000105","226","015","355224","00","0105",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",160.00,100.00,RUA ANA DO SACRAMENTO ANDRADE,"31",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,4165106","-46,5840831","0"
"RUA ANA DO SACRAMENTO ANDRADE, 27, SAO PAULO, SAO PAULO,  - BRASIL","226015355224000104","226","015","355224","00","0104",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",176.00,110.00,RUA ANA DO SACRAMENTO ANDRADE,"27",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,416491","-46,5841685","0"
"RUA CANTAREIRA, 121, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000182","226","015","517836","00","0182",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",168.00,105.00,RUA CANTAREIRA,"121",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5430415","-46,6307523","0"
"RUA CANTAREIRA, 45, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000197","226","015","517836","00","0197",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",400.00,100.00,RUA CANTAREIRA,"45",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5438981","-46,6310122","0"
"RUA CANTAREIRA, 111, SAO PAULO, SAO PAULO,  - BRASIL","226015517836000184","226","015","517836","00","0184",JT,TRE,"1",S,S,"99","0",,L,"16402","2016",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",174.00,109.00,RUA CANTAREIRA,"111",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,,"1","2021","-23,5432918","-46,6305951","0"
