GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA GUSTAVO TEIXEIRA, 338, SAO PAULO, SAO PAULO - BRASIL","011060085545010000","011","060","085545","01","0000",LA,PRD,,S,S,ZER 1,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",ZEPEC,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2885.00,RUA GUSTAVO TEIXEIRA,"338",R,0.00,0.00,U,,,ZEPEC-AUE.,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5451396","-46,6689484","1"
"RUA PIAUI, 247, SAO PAULO, SAO PAULO - BRASIL","010011162043010000","010","011","162043","01","0000",SE,CON,"2",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,896.00,RUA PIAUI,"247",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5472887","-46,6536418","1"
"ALAMEDA MINISTRO ROCHA AZEVEDO, 495, SAO PAULO, SAO PAULO - BRASIL","010089172405010000","010","089","172405","01","0000",PI,JDP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,879.00,ALAMEDA MINISTRO ROCHA AZEVEDO,"495",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5623872","-46,6600578","1"
"AVENIDA PAULISTA, 1151, SAO PAULO, SAO PAULO - BRASIL","009046156566010000","009","046","156566","01","0000",PI,JDP,,S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,3030.00,AVENIDA PAULISTA,"1151",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,564701","-46,653675","1"
"RUA BENTO FREITAS, 146, SAO PAULO, SAO PAULO - BRASIL","007060032310010000","007","060","032310","01","0000",SE,REP,"1",S,S,ZC,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,875.00,RUA BENTO FREITAS,"146",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5431505","-46,6455911","1"
"RUA CHARLES SPENCER CHAPLIN, 85, SAO PAULO, SAO PAULO - BRASIL","171206630870010000","171","206","630870","01","0000",CL,VAN,"3",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,3998.00,RUA CHARLES SPENCER CHAPLIN,"85",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,6241772","-46,7348499","1"
"RUA DOUTOR CLEMENTINO, 456, SAO PAULO, SAO PAULO - BRASIL","029021050920010000","029","021","050920","01","0000",MO,BEL,,S,S,ZM,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,5982.00,RUA DOUTOR CLEMENTINO,"456",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"3","2021","-23,5412616","-46,5915814","1"
"RUA CARDOSO DE ALMEIDA, 441, SAO PAULO, SAO PAULO - BRASIL","020081042480010000","020","081","042480","01","0000",LA,PRD,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,711.00,RUA CARDOSO DE ALMEIDA,"441",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5352324","-46,666029","1"
"RUA MARIA MARCOLINA, 804, SAO PAULO, SAO PAULO - BRASIL","017091133035010000","017","091","133035","01","0000",MO,PRI,"1",S,S,ZDE-1,"0",,,"0","0",S,QA,"1",,,"0","0",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1211.00,RUA MARIA MARCOLINA,"804",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"3","2021","-23,5349941","-46,6169471","1"
"RUA ANDRE FERNANDES, 205, SAO PAULO, SAO PAULO - BRASIL","016055013137010000","016","055","013137","01","0000",PI,IBI,,S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2057.00,RUA ANDRE FERNANDES,"205",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5808153","-46,6821447","1"
