GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_M,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA ANTONIO DENARDI, 64,
SAO PAULO, SAO PAULO - BRASIL","148257642266000037","148","257","6422","00","0037",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",67.00,71.00,RUA ANTONIO DENARDI,"64",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,581903","-46,5273182","0"
"RUA ANTONIO DENARDI, 68,
SAO PAULO, SAO PAULO - BRASIL","148257642266000038","148","257","6422","00","0038",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",66.00,71.00,RUA ANTONIO DENARDI,"68",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,581892","-46,5273486","0"
"RUA ANTONIO DENARDI, 72,
SAO PAULO, SAO PAULO - BRASIL","148257642266000039","148","257","6422","00","0039",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",64.00,69.00,RUA ANTONIO DENARDI,"72",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5818808","-46,5273794","0"
"RUA ANTONIO DENARDI, 76,
SAO PAULO, SAO PAULO - BRASIL","148257642266000040","148","257","6422","00","0040",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",65.00,63.00,RUA ANTONIO DENARDI,"76",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5818767","-46,5274122","0"
"RUA ANTONIO DENARDI, 80,
SAO PAULO, SAO PAULO - BRASIL","148257642266000041","148","257","6422","00","0041",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",63.00,90.00,RUA ANTONIO DENARDI,"80",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5818635","-46,5274459","0"
"RUA ROSARIA ABATEPAULO SANTORO, 49,
SAO PAULO, SAO PAULO - BRASIL","148257211362000042","148","257","2113","00","0042",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",65.00,69.00,RUA ROSARIA ABATEPAULO SANTORO,"49",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5816307","-46,5270547","0"
"RUA ROSARIA ABATEPAULO SANTORO, 53,
SAO PAULO, SAO PAULO - BRASIL","148257211362000043","148","257","2113","00","0043",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",67.00,71.00,RUA ROSARIA ABATEPAULO SANTORO,"53",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5816196","-46,5270854","0"
"RUA ROSARIA ABATEPAULO SANTORO, 57,
SAO PAULO, SAO PAULO - BRASIL","148257211362000044","148","257","2113","00","0044",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",67.00,71.00,RUA ROSARIA ABATEPAULO SANTORO,"57",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5816088","-46,5271154","0"
"RUA ROSARIA ABATEPAULO SANTORO, 61,
SAO PAULO, SAO PAULO - BRASIL","148257211362000045","148","257","2113","00","0045",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",66.00,71.00,RUA ROSARIA ABATEPAULO SANTORO,"61",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5815871","-46,5271416","0"
"RUA ROSARIA ABATEPAULO SANTORO, 65,
SAO PAULO, SAO PAULO - BRASIL","148257211362000046","148","257","2113","00","0046",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",66.00,71.00,RUA ROSARIA ABATEPAULO SANTORO,"65",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,,"2021","-23,5814533","-46,5271124","0"
